DATA;VALUTA;DARE;AVERE;;DESCRIZIONE OPERAZIONE;CAUSALE ABI;
13/06/2016;11/06/2016;9.80;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 11/06/2016 11.36 BANCA: CASSA DI RISPARMIO DEL VENET O presso FA.NY SRL                                                                                       ;43;
13/06/2016;11/06/2016;23.18;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 11/06/2016 11.51 BANCA: BANCA POPOLARE DI VICENZA S. P.A. presso SUPERMERCATO COOP CERV                                                                       ;43;
13/06/2016;12/06/2016;31.55;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 12/06/2016 16.11 BANCA: BANCA POPOLARE DI VICENZA S. P.A. presso 4415 - IS4 UD BAGNARIA                                                                       ;43;
15/06/2016;11/06/2016;20.30;;EUR;PAGOBANCOMAT                       DATA/ORA OP.: 11/06/2016 10.54.00 BANCA: ISTITUTO CENTRALE DELLE BANC HE POPOLARI ITALIANE                                                                                     ;43;
15/06/2016;14/06/2016;11.98;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 14/06/2016 13.59 BANCA: UNICREDIT SPA presso OVS SRL                                                                                                          ;43;
15/06/2016;14/06/2016;25.35;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 14/06/2016 14.16 BANCA: INTESA SANPAOLO SPA presso CO IMPORT                                                                                                  ;43;
15/06/2016;14/06/2016;20.90;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 14/06/2016 18.32 BANCA: BANCA MONTE DEI PASCHI DI SI ENA S.P.A. presso BOFROST                                                                                ;43;
16/06/2016;16/06/2016;13.00;;EUR;R.I.D.                             CRED. Save the Children Italia Onlu RIF. 811601189256 SDD 2016 R 0281132 SCAD. 16/06/2016 IMP. E       13.00                                                                   ;50;
16/06/2016;16/06/2016;;289.00;EUR;Ordinante: ASSIMOCO S.P.A. Causale: ACCREDITO ORDINE CONTO  ACCREDITO ORDINE CONTO Data ordine: 16062016 IBAN ordinante: IT73P08000032000 Indirizzo ordinante: - ROMA;48;
16/06/2016;15/06/2016;67.00;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 15/06/2016 11.50 BANCA: BANCA MONTE DEI PASCHI DI SI ENA S.P.A. presso CEAR                                                                                   ;43;
16/06/2016;15/06/2016;60.49;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 15/06/2016 19.11 BANCA: BANCA POPOLARE FRIULADRIA S. P.A. presso FARMACIA DOTT. MONEG                                                                         ;43;
17/06/2016;16/06/2016;13.42;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 16/06/2016 19.17 BANCA: CREDITO COOPERATIVO FRIULI S CRL presso ALIMENTARI RIGONAT                                                                            ;43;
17/06/2016;16/06/2016;50.00;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 16/06/2016 18.03 BANCA: ICCREA BANCA S.P.A. - ISTITU TO CENTRALE DEL CREDITO COOPERATIVO presso OROLOGERIA - OREFICERIA  SCU                                  ;43;
17/06/2016;16/06/2016;20.10;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 16/06/2016 08.09 BANCA: BANCA POPOLARE FRIULADRIA S. P.A. presso DISTRIBUTORE IP                                                                              ;43;
20/06/2016;20/06/2016;54.14;;EUR;R.I.D.                             CRED. FINDOMESTIC BANCA S.P.A. RIF. 201841781282112018417812820020 184178128211 FACCHINETTI PAOLA PREL . IL 200616 SDD 2016 R 0284322 SCAD. 20/06/2016 IMP. E       52.14 COMM.;50;
20/06/2016;19/06/2016;100.00;;EUR;PRELIEVO BANCOMAT                  DATA/ORA OP.: 19/06/2016 13.10.00 BANCA: ICCREA BANCA S.P.A. - ISTITU TO CENTRALE DEL CREDITO COOPERATIVO                                                                      ;91;
20/06/2016;18/06/2016;31.80;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 18/06/2016 14.59 BANCA: ICCREA BANCA S.P.A. - ISTITU TO CENTRALE DEL CREDITO COOPERATIVO presso RISTORANTE YUXI DI ZHENG GUO                                  ;43;
21/06/2016;21/06/2016;109.33;;EUR;R.I.D.                             CRED. Generali Italia RIF. FACCHINETTI PAOLA IU0000907121 4750160621 SDD 2016 R 0273072 SCAD. 21/06/2016 IMP. E      107.33 COMM. E    2.00                                    ;50;
21/06/2016;21/06/2016;36.35;;EUR;R.I.D.                             CRED. PayPal Europe S.a.r.l. et Cie RIF. YYI5Q9J29P6S8HSU PAYPAL SDD 2016 R 0288101 SCAD. 21/06/2016 IMP. E       34.35 COMM. E    2.00                                        ;50;
21/06/2016;16/06/2016;14.91;;EUR;PAGOBANCOMAT                       DATA/ORA OP.: 16/06/2016 16.34.00 BANCA: ISTITUTO CENTRALE DELLE BANC HE POPOLARI ITALIANE                                                                                     ;43;
21/06/2016;17/06/2016;31.95;;EUR;PAGOBANCOMAT                       DATA/ORA OP.: 17/06/2016 11.47.00 BANCA: ISTITUTO CENTRALE DELLE BANC HE POPOLARI ITALIANE                                                                                     ;43;
21/06/2016;17/06/2016;12.49;;EUR;PAGOBANCOMAT                       DATA/ORA OP.: 17/06/2016 12.19.00 BANCA: ISTITUTO CENTRALE DELLE BANC HE POPOLARI ITALIANE                                                                                     ;43;
21/06/2016;20/06/2016;17.19;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 20/06/2016 18.48 BANCA: BANCA POPOLARE FRIULADRIA S. P.A. presso DISTRIBUTORE IP                                                                              ;43;
22/06/2016;22/06/2016;;500.00;EUR;Ordinante: POZZOBON DANIELE . FACCHINETTI PAOLA Causale: ACCREDITO ORDINE CONTO  ACCREDITO ORDINE CONTO Data ordine: 21062016 IBAN ordinante: IT45C03205020000 Indirizzo ordinante: VIA GORIZIA 13.I - RUDA;48;
22/06/2016;21/06/2016;20.00;;EUR;PREL.BANCOMAT NS ATM               DATA/ORA OP.: 21/06/2016 08.36.00 BANCA: CREDITO COOPERATIVO FRIULI S CRL                                                                                                      ;05;
23/06/2016;23/06/2016;45.99;;EUR;R.I.D.                             CRED. Tiscali Italia S.p.A. co RIF. 161226621+41721120+438509612 SDD 2016 R 0279904 SCAD. 23/06/2016 IMP. E       45.99                                                        ;50;
24/06/2016;23/06/2016;22.00;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 23/06/2016 12.09 BANCA: CREDITO COOPERATIVO FRIULI S CRL presso FARMACIA MENON FERESIN SNC                                                                    ;43;
27/06/2016;24/06/2016;29.15;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 24/06/2016 10.26 BANCA: INTESA SANPAOLO SPA presso LIDL 1222                                                                                                  ;43;
27/06/2016;24/06/2016;19.90;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 24/06/2016 12.07 BANCA: CREDITO COOPERATIVO FRIULI S CRL presso FARMACIA MENON FERESIN SNC                                                                    ;43;
27/06/2016;27/06/2016;;1780.00;EUR;Ordinante: MEDIOCREDITO DEL FVG - S.P.A. Causale: ACCREDITO ORDINE CONTO  ACCREDITO ORDINE CONTO Data ordine: 27062016 IBAN ordinante: IT88R1064012300K Indirizzo ordinante: VIA AQUILEIA. 1 - UDINE;48;
28/06/2016;28/06/2016;3.00;;EUR;R.I.D.                             CRED. PayPal Europe S.a.r.l. et Cie RIF. YYIJ222227TCBMTY PAYPAL SDD 2016 R 0296030 SCAD. 28/06/2016 IMP. E        1.00 COMM. E    2.00                                        ;50;
28/06/2016;24/06/2016;11.67;;EUR;PAGOBANCOMAT                       DATA/ORA OP.: 24/06/2016 17.09.00 BANCA: ISTITUTO CENTRALE DELLE BANC HE POPOLARI ITALIANE                                                                                     ;43;
28/06/2016;27/06/2016;50.00;;EUR;PREL.BANCOMAT NS ATM               DATA/ORA OP.: 27/06/2016 08.07.00 BANCA: CREDITO COOPERATIVO FRIULI S CRL                                                                                                      ;05;
30/06/2016;30/06/2016;443.65;;EUR;RATA MUTUO                         Mutuo n. 000022113 EUR Tasso 1.389 Rata n.065/Scadenza 30.06.2016  E    98.055.49 Quota capitale E       329.89 Quota interessi E       112.01  /Spese E   1.75                ;15;
30/06/2016;30/06/2016;50.58;;EUR;BOLL.GAS/ENERGIA                   CRED. BLUENERGY GROUP SPA RIF. FT.575986/6 10-06-16 SDD 2016 R 0290109 SCAD. 30/06/2016 IMP. E       50.58                                                                     ;ZE;
30/06/2016;29/06/2016;70.00;;EUR;PREL.BANCOMAT NS ATM               DATA/ORA OP.: 29/06/2016 16.03.00 BANCA: CREDITO COOPERATIVO FRIULI S CRL                                                                                                      ;05;
30/06/2016;30/06/2016;;1684.00;EUR;ACCREDITO STIPENDI PENSIONI RI     REPLY S P A RP-1600041508 PER CLUSTER REPLY SRL RETR.06/16 TXI:0306925972446500480104801048IT                                                                                  ;27;
30/06/2016;29/06/2016;22.85;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 29/06/2016 15.47 BANCA: BANCA MONTE DEI PASCHI DI SI ENA S.P.A. presso EUROSPAR - SFEA SUPERM                                                                 ;43;
30/06/2016;30/06/2016;3.00;;EUR;COMMISSIONI CANONE MENSILE                                                                                                                                                                                        ;16;
01/07/2016;30/06/2016;19.82;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 30/06/2016 19.13 BANCA: UNICREDIT SPA presso SORELLE RAMONDA 173                                                                                              ;43;
01/07/2016;01/07/2016;306.50;;EUR;R.I.D.                             CRED. SANTANDER CONSUMER BANK SPA RIF. PAGAMENTO DELLA RATA N 047 DEL LA PRATICA N 000003145402 FATTURA N   SDD 2016 R 0293078 SCAD. 01/07/2016 IMP. E      304.50 COMM. E    2;50;
